Id,Predicted
1,306.2601561
2,380.4296495
3,-5781.535006
4,397.1518532
5,192.8490348
6,-102.6981668
7,274.1314596
8,317.7455343
9,-761.8428955
10,164.5266625
11,302.2738589
12,100.179423
13,-2548.418036
14,402.2077475
15,-7255.941672
16,263.843806
17,-862.5472538
18,395.2278039
19,-2668.41208
20,-9301.726904
21,-3211.487847
22,-7821.757227
23,277.837857
24,-19.64130165
25,395.2278039
26,149.7647469
27,377.6311118
28,385.3543254
29,-2687.847477
30,263.0073725
31,-25470.96487
32,-154.4794361
33,351.9469259
34,367.7019684
35,361.8156388
36,417.1440775
37,417.1440775
38,211.3070767
39,345.0618099
40,-1778.984759
41,368.4415652
42,-7518.61891
43,397.1518532
44,-1827.406218
45,417.1440775
46,-6518.850877
47,198.2092828
48,-7209.427457
49,64.49519563
50,-7094.343073
51,340.5668641
52,272.5438268
53,146.1479583
54,417.1440775
55,267.0777186
56,-8975.602327
57,-197.3516214
58,223.3462807
59,386.9934737
60,296.8379999
61,-9535.362202
62,221.212221
63,317.8110047
64,-2036.263426
65,-539.0914847
66,131.0674244
67,340.4273159
68,298.3419882
69,244.7148188
70,-31239.69525
71,-7558.638463
72,364.8466143
73,310.3045608
74,335.9587976
75,385.3543254
76,309.7605959
77,266.2333318
78,271.3951599
79,399.461621
80,363.2480674
81,378.7466957
82,313.3775146
83,-101.3935106
84,339.4964441
85,392.8979921
86,-22907.29622
87,256.2509356
88,144.998218
89,264.0018144
90,47.43744021
91,-469.9981231
92,-24874.69287
93,349.6483513
94,-4730.289513
95,380.2512777
96,326.65533
97,-1256.730556
98,272.3234948
99,302.4352801
100,-334.1478102
101,-144.3703342
102,-576.0474293
103,327.1074719
104,384.1831304
105,132.8313664
106,142.2925708
107,-10616.39451
108,282.1789046
109,244.7148188
110,-2141.249821
111,64.49519563
112,383.298503
113,331.6444591
114,-134.5734713
115,310.2652358
116,300.8406271
117,12.2522078
118,-279.7027525
119,-4818.344456
120,-103.5911654
121,-5376.499066
122,-23483.46306
123,192.0292859
124,-10142.88689
125,371.6824096
126,360.746455
127,-1171.092567
128,-9291.855763
129,-2534.749576
130,347.7167837
131,-12354.48433
132,167.131892
133,-2360.96607
134,242.2239961
135,-1044.026765
136,-8595.484714
137,358.0816403
138,269.0337437
139,-9105.887692
140,91.84921747
141,334.1227311
142,-1689.584972
143,390.2866588
144,-2848.99467
145,418.7244233
146,407.5711301
147,-7310.626306
148,-1987.240662
149,144.5629659
150,-22201.03437
151,194.1038029
152,160.0988345
153,253.7103887
154,-1631.06614
155,263.7808524
156,-744.6171074
157,-15998.5824
158,371.3477275
159,393.7431254
160,-135.6518818
161,-2977.668247
162,-7898.569111
163,349.3596555
164,-103.5911654
165,-12074.64861
166,406.9126171
167,243.1704964
168,-608.7472329
169,263.4797996
170,296.9437539
171,348.2711578
172,417.1440775
173,-4676.620633
174,47.43744021
175,118.0970155
176,300.5391245
177,289.7189969
178,-5266.556602
179,354.8289721
180,-1951.833537
181,-367.9981872
182,144.5629659
183,245.8380878
184,372.0390192
185,-103.5911654
186,-572.2111222
187,230.3737631
188,260.7384227
189,382.4706625
190,362.926241
191,-7496.032762
192,307.7873491
193,-1860.85317
194,105.8574303
195,358.4543802
196,-5606.643358
197,251.6352466
198,371.6824096
199,-3763.616116
200,-1961.502154
201,282.1789046
202,395.2278039
203,-36414.94662
204,327.1761531
205,-9832.143616
206,310.1580657
207,367.3393086
208,313.2611869
209,-83.92492837
210,265.9484602
211,-57.47568236
212,284.914646
213,-28923.23765
214,-7543.208498
215,1.334492046
216,331.9223148
217,312.5186282
218,386.5146796
219,417.8586443
220,45.84240092
221,-129.56657
222,-13775.97916
223,-28694.5278
224,137.8382416
225,261.6285401
226,49.65197893
227,130.094467
228,-356.1714223
229,385.4143385
230,282.9058431
231,192.14684
232,-5725.184033
233,363.0811419
234,310.3045608
235,-4314.131355
236,-9722.59135
237,144.998218
238,-4600.589294
239,142.2925708
240,417.1440775
241,47.43744021
242,-3594.956635
243,-16799.86058
244,-1114.375513
245,290.487824
246,342.1329751
247,160.8027618
248,-339.8488612
249,338.4934068
250,-1400.388482
251,-276.9442919
252,212.5617532
253,-4799.279054
254,-2087.668845
255,217.8967073
256,-8744.77532
257,160.0988345
258,161.6574566
259,280.4114592
260,-493.1624467
261,-3863.73916
262,316.0112128
263,184.5707705
264,262.8398106
265,-9149.420442
266,-8596.695738
267,-9765.644855
268,144.998218
269,322.4920341
270,-9339.229684
271,262.4610841
272,-1815.416548
273,251.6601566
274,273.5793289
275,362.0240803
276,-6022.483115
277,302.4352801
278,373.3977701
279,260.5609396
280,-1100.697592
281,16.27680876
282,-7971.04132
283,329.108386
284,-6336.330062
285,-8432.189844
286,-3930.469343
287,391.3143247
288,261.2374232
289,351.8751674
290,315.4304013
291,393.7486679
292,393.3571935
293,132.8313664
294,144.5629659
295,316.2648352
296,199.8228405
297,255.6021891
298,339.4964441
299,371.6824096
300,352.8998532
301,404.3145303
302,289.2649798
303,271.6496729
304,-13080.29364
305,311.3396537
306,126.6211619
307,-6179.060319
308,271.0494574
309,293.4561017
310,256.475161
311,395.5891876
312,325.0417751
313,-7219.42966
314,367.3393086
315,393.7431254
316,243.2899876
317,345.9286215
318,243.3263318
319,342.9047777
320,234.5966035
321,217.3170784
322,-1937.364352
323,-2581.7632
324,-2698.833029
325,-1238.214519
326,246.2809999
327,274.7108145
328,-1914.199084
329,155.6830669
330,-19212.37709
331,-11001.50755
332,185.089572
333,235.7786762
334,281.4300383
335,322.6659005
336,-7578.2289
337,272.7176689
338,188.6489647
339,-10674.29954
340,315.2527334
341,-5248.698815
342,-1139.778596
343,102.3147473
344,348.4374079
345,357.9126999
346,-6086.125539
347,66.02207947
348,76.41473393
349,-5894.176776
350,256.8819487
351,312.817881
352,312.86596
353,272.4684202
354,351.8751674
355,-880.2763305
356,-2974.917058
357,360.0012478
358,334.2708023
359,303.3560472
360,242.2837042
361,-1328.803884
362,-58.11041471
363,406.2335958
364,332.5387294
365,-1732.280375
366,-9645.446762
367,293.4998208
368,-7147.632465
369,349.0672933
370,283.8491113
371,129.8825975
372,263.7524047
373,160.0988345
374,-6781.524927
375,271.5580139
376,264.8105339
377,167.6136755
378,-3633.193442
379,-5716.510284
380,-189.245487
381,270.1702154
382,223.3462807
383,-1662.941795
384,187.6650985
385,223.8267722
386,-7055.345346
387,-4499.547555
388,377.6311118
389,-188.3304189
390,273.0154267
391,404.3145303
392,-4219.061203
393,270.7739504
394,-15186.97693
395,-7387.596855
396,386.9934737
397,-1080.03898
398,404.3556948
399,-3865.603103
400,334.2708023
401,218.4355436
402,292.8993072
403,342.1852708
404,404.3556948
405,600.1722943
406,127.7968809
407,288.771643
408,173.8496797
409,243.6799936
410,-16.50984409
411,139.9254651
412,411.3758165
413,144.998218
414,-7558.889182
415,55.21883282
416,69.93245284
417,207.5651121
418,371.6824096
419,287.7060902
420,129.8825975
421,165.9801032
422,109.7353536
423,-2594.793484
424,351.8751674
425,289.8989631
426,218.7756544
427,144.998218
428,125.7968822
429,-258.4608282
430,408.150221
431,408.8937475
432,393.7431254
433,144.5629659
434,149.665362
435,-3003.960954
436,-7980.329491
437,310.2652358
438,144.998218
439,-19277.59642
440,-573.1028362
441,397.1518532
442,371.6824096
443,315.649999
444,267.4007459
445,-6926.805354
446,289.9869274
447,392.8979921
448,327.1074719
449,397.0173912
450,139.9254651
451,-1464.553358
452,269.6410538
453,-1115.50745
454,163.4598053
455,297.8665224
456,-1955.62295
457,185.089572
458,134.6337997
